Age,Mean_Wage,Mean_Hours,Mean_Assets,formula,,
20,5.517,1899.4,3239.2,1.26E-05,,
21,5.754,1943,4031.4,1.27E-05,,
22,6.088,1993.7,4614.1,1.26E-05,,
23,6.464,2040.5,5942.4,1.25E-05,,
24,6.799,2087.6,6784.4,1.24E-05,,
25,7.114,2132.9,7977.7,1.24E-05,,
26,7.437,2176.8,9182.3,1.24E-05,,
27,7.754,2219.3,"10,389",1.24E-05,,
28,8.066,2260.5,"11,582",1.24E-05,,
29,8.378,2300.1,"12,744",1.24E-05,,
30,8.685,2337.3,"13,842",1.24E-05,,
31,8.974,2372.9,"14,834",1.24E-05,,
32,9.256,2406.6,"15,674",1.25E-05,,
33,9.526,2437.8,"16,300",1.25E-05,,
34,9.784,2466.4,"17,820",1.25E-05,,
35,10.03,2492,"20,230",1.25E-05,,
36,10.25,2515.1,"23,517",1.25E-05,,
37,10.45,2534.7,"27,656",1.25E-05,,
38,10.63,2551,"32,615",1.25E-05,,
39,10.79,2562.3,"38,344",1.25E-05,,
40,10.92,2569.5,"44,772",1.25E-05,,
41,11.04,2572.6,"51,828",1.25E-05,,
42,11.14,2569.8,"59,432",1.25E-05,,
43,11.2,2560.2,"67,494",1.25E-05,,
44,11.24,2545,"75,890",1.25E-05,,
45,11.27,2522.1,"84,519",1.25E-05,,
46,11.25,2491.4,"93,256",1.25E-05,,
47,11.21,2452,"101,973",1.25E-05,,
48,11.14,2402.2,"110,531",1.25E-05,,
49,11.06,2342,"118,779",1.25E-05,,
50,10.94,2271.1,"126,622",1.25E-05,,
51,10.79,2189.6,"133,972",1.26E-05,,
52,10.6,2096.7,"140,751",1.26E-05,,
53,10.38,1990.8,"146,866",1.27E-05,,
54,10.13,1872.9,"152,228",1.27E-05,,
55,9.849,1742.5,"156,759",1.28E-05,,
56,9.53,1597.5,"160,371",1.30E-05,,
57,9.161,1441.1,"162,959",1.31E-05,,
58,8.755,1274.1,"164,440",1.32E-05,,
59,8.309,1102,"164,709",1.33E-05,,
60,7.799,933.21,"163,702",1.34E-05,,
61,7.25,777.7,"161,383",1.35E-05,,
62,6.669,633.47,"157,795",1.36E-05,,
63,6.07,488.99,"153,096",1.38E-05,,
64,5.452,434.42,"147,231",1.45E-05,,
65,4.877,251.58,"141,247",1.36E-05,,


TABLE 6
ML, OLS, IV RESULTS
\begin{tabular}{lccc}
\hline Age & & $b_2$ & $a_2$ \\
\hline $20-36$ & ML & $3.82(0.0124)$ & $1.26(0.000850)$ \\
\multicolumn{2}{l}{ Simulated data } & & \\
$20-64$ & OLS & $-0.444(0.00248)$ & $-1.25(0.0126)$ \\
& 3SLS & $0.971(0.0941)$ & $2.03(0.0999)$ \\
$20-56$ & OLS & $-0.301(0.00247)$ & $-2.33(0.0273)$ \\
& 3SLS & $1.13(0.259)$ & $1.89(0.204)$ \\
$20-46$ & OLS & $-0.270(0.00280)$ & $-2.70(0.0382)$ \\
& 3SLS & $0.537(0.217)$ & $2.86(0.753)$ \\
$20-36$ & OLS & $-0.293(0.00366)$ & $-2.41(0.0426)$ \\
& 3SLS & $0.325(0.256)$ & $4.08(2.42)$ \\
\multirow{4}{*}{ NLSY79 data } & & \\
$20-36$ & OLS & $-0.231(0.00659)$ & $-3.33(0.124)$ \\
& 3SLS & $0.260(0.0769)$ & $4.85(1.14)$ \\
\hline
\end{tabular}
NOTE: Delta method is used to calculate the standard errors for $b_2$ for ML and $a_2$ for OLS and 3SLS results.
Std. errors are in parentheses. Instruments: const, experience (which is age-19), experience squared, twice lagged wage.